"date","Year","week","eBird.DP.RF"
2016-03-07,2016,10,0.657897209844925
2016-03-14,2016,11,0.570092528862009
2016-03-21,2016,12,0.564349522271198
2016-03-28,2016,13,0.555446483024154
2016-04-04,2016,14,0.541592844857234
2016-04-11,2016,15,0.523371307171781
2016-04-18,2016,16,0.51316103375903
2016-04-25,2016,17,0.491687317696847
2016-05-02,2016,18,0.473200220289812
2016-05-09,2016,19,0.44801854790237
2016-05-16,2016,20,0.431295024916425
2016-05-23,2016,21,0.42329685778586
2016-05-30,2016,22,0.422558226434146
2016-06-06,2016,23,0.425903124011558
2016-06-13,2016,24,0.433631288377096
2016-06-20,2016,25,0.442899072708744
2016-06-27,2016,26,0.458324053924816
2016-07-04,2016,27,0.469407375702719
2016-07-11,2016,28,0.475039083557256
2016-07-18,2016,29,0.478881930496059
2016-07-25,2016,30,0.483222768394647
2016-08-01,2016,31,0.489003772025681
2016-08-08,2016,32,0.495204440634113
2016-08-15,2016,33,0.494349248784468
2016-08-22,2016,34,0.49502778921101
2016-08-29,2016,35,0.503070865057777
2016-09-05,2016,36,0.508795625461673
2016-09-12,2016,37,0.520030556449269
2016-09-19,2016,38,0.53299893163008
2016-09-26,2016,39,0.554106377427752
2016-10-03,2016,40,0.562645486717732
2016-10-10,2016,41,0.571708174768554
2016-10-17,2016,42,0.576305746021496
2016-10-24,2016,43,0.583146740678682
2016-10-31,2016,44,0.592578666705934
2016-11-07,2016,45,0.605654142013881
2016-11-14,2016,46,0.625094811652501
2016-11-21,2016,47,0.633097481712651
2016-11-28,2016,48,0.634804411020593
2016-12-05,2016,49,0.637287290714347
2016-12-12,2016,50,0.640881222553864
2016-12-19,2016,51,0.640928441909794
2016-12-26,2016,52,0.640303769093658
2017-01-02,2017,1,0.674132800077205
2017-01-09,2017,2,0.678618792492785
2017-01-16,2017,3,0.682024098534681
2017-01-23,2017,4,0.686544137167151
2017-01-30,2017,5,0.688146642701979
2017-02-06,2017,6,0.688811764934174
2017-02-13,2017,7,0.687852193772429
