"actual_city_town","week","year","ncoh","zscore"
"Swansea",16,2018,0.00290556900726392,-0.109315800357362
"Swansea",17,2013,0.0013817594834544,-0.121466507001945
"Swansea",17,2016,0.00110734463276836,-0.123654663918871
"Swansea",19,2013,0.00159806295399516,-0.119741724490955
"Swansea",20,2018,0.00306698950766747,-0.108028649229758
"Swansea",21,2017,0.00395480225988701,-0.100949318027936
"Swansea",21,2018,0.000169491525423729,-0.131133011970251
"Swansea",22,2018,9.20096852300242e-05,-0.131750844511501
"Swansea",23,2016,0.00169975786924939,-0.118930819280565
"Swansea",25,2013,0.00200484261501211,-0.116498103649393
"Swansea",25,2015,0.00169330104923325,-0.118982305325669
"Swansea",25,2016,0.00259887005649718,-0.11176138749981
"Swansea",26,2017,0.00660048426150121,-0.0798529110465055
"Swansea",27,2013,0.00229378531073446,-0.114194103130982
"Swansea",27,2015,6.77966101694915e-05,-0.131943917180642
"Swansea",27,2017,0.00129297820823245,-0.122174440122127
"Swansea",27,2018,0.00197578692493947,-0.116729790852362
"Swansea",28,2015,0.00322033898305085,-0.106805855658534
"Swansea",28,2016,0.000347054075867635,-0.129717145729887
"Swansea",28,2018,0.0011864406779661,-0.123023959866345
"Swansea",31,2015,0.000295399515738499,-0.13012903409072
"Swansea",32,2016,0.00710573042776433,-0.0758241280171048
"Swansea",33,2017,0.000513317191283293,-0.128391380068454
"Swansea",34,2016,0.000261501210653753,-0.130399335827517
"Swansea",34,2017,0.00157384987893462,-0.119934797160096
"Swansea",34,2018,0.000903954802259887,-0.125276474339653
"Swansea",36,2016,0.00493946731234867,-0.0930976961495512
"Swansea",38,2016,0.0019774011299435,-0.116716919341086
"Swansea",39,2013,0.000322841000807103,-0.129910218399027
"Swansea",40,2013,0.000585956416464891,-0.127812162061033
"Swansea",40,2017,0.00264406779661017,-0.111400985184081
"Swansea",41,2015,0.00288942695722357,-0.109444515470123
"Swansea",41,2017,0.000250201775625504,-0.130489436406449
"Swansea",42,2013,0.00015819209039548,-0.131223112549183
"Swansea",42,2015,0.00338983050847458,-0.10545434697455
"Swansea",42,2017,0.000813559322033898,-0.125997278971111
"Swansea",43,2015,0.000185633575464084,-0.131004296857491
"Swansea",44,2018,0.00214366424535916,-0.115391153679653
"Swansea",45,2013,0.00167070217917676,-0.119162506483533
"Swansea",45,2018,0.00182889426957224,-0.117901098378481
"Swansea",47,2013,0.0013365617433414,-0.121826909317674
"Swansea",47,2018,0.000184019370460048,-0.131017168368767
"Swansea",48,2016,0.00290556900726392,-0.109315800357362
"Swansea",48,2017,0.0005682001614205,-0.127953748685069
"Swansea",49,2013,0.00129943502824859,-0.122122954077023
"Swansea",49,2015,0.00167393058918483,-0.119136763460981
"Swansea",49,2017,0.00419854721549637,-0.0990057198252538
"Swansea",50,2015,0.00252138821630347,-0.11237922004106
"Swansea",50,2017,0.00515415657788539,-0.0913857851498378
"Swansea",52,2018,0.00119128329297821,-0.122985345332517
"Tewksbury",1,2016,0.000291720291720292,-0.130158371859664
"Tewksbury",4,2013,0.000918918918918919,-0.125157151951337
"Tewksbury",5,2016,0.00114114114114114,-0.123385173899002
"Tewksbury",8,2016,0.00233462033462033,-0.113868488683566
"Tewksbury",8,2018,0.000343200343200343,-0.129747875013564
"Tewksbury",11,2016,0.000126984126984127,-0.131471961767187
"Tewksbury",13,2018,0.000223080223080223,-0.130705700987799
"Tewksbury",14,2013,0.000494208494208494,-0.128543750931668
"Tewksbury",15,2018,0.0046949806949807,-0.0950472082898466
"Tewksbury",16,2015,0.0234877734877735,0.0548046653792331
"Tewksbury",17,2015,0.000672672672672673,-0.127120695198519
"Tewksbury",17,2016,0.000317460317460317,-0.129953123436614
"Tewksbury",18,2018,0.0114543114543115,-0.0411489723968178
"Tewksbury",20,2013,0.000308880308880309,-0.130021539577631
"Tewksbury",21,2018,0.000370656370656371,-0.12952894336231
"Tewksbury",22,2015,0.0291248391248391,0.0997540700272655
"Tewksbury",22,2018,0.000669240669240669,-0.127148061654925
"Tewksbury",23,2015,0.00452852852852853,-0.0963744814255724
"Tewksbury",23,2016,0.00077048477048477,-0.126340751190927
"Tewksbury",23,2018,0.00506392106392106,-0.0921053142261246
"Tewksbury",24,2016,0.00140797940797941,-0.12125743191338
"Tewksbury",24,2017,0.00166280566280566,-0.119225472525181
"Tewksbury",24,2018,0.000264264264264264,-0.130377303510918
"Tewksbury",25,2013,0.0014011154011154,-0.121312164826193
"Tewksbury",25,2016,0.002995280995281,-0.108600445825273
"Tewksbury",25,2017,0.00686057486057486,-0.0777789742972083
"Tewksbury",25,2018,0.00475847275847276,-0.0945409288463224
"Tewksbury",26,2016,0.00244530244530245,-0.11298592046445
"Tewksbury",26,2017,0.000570570570570571,-0.127934847276619
"Tewksbury",26,2018,0.00099013299013299,-0.124589297980897
"Tewksbury",27,2016,0.000468468468468468,-0.128748999354718
"Tewksbury",27,2017,0.00048048048048048,-0.128653216757295
"Tewksbury",27,2018,0.0131823251823252,-0.0273699615960359
"Tewksbury",28,2015,0.00501930501930502,-0.0924610781594119
"Tewksbury",28,2016,0.00364478764478765,-0.103421343950302
"Tewksbury",28,2017,0.00299013299013299,-0.108641495509883
"Tewksbury",28,2018,0.00265722865722866,-0.111296041781335
"Tewksbury",29,2018,0.000471900471900472,-0.128721632898312
"Tewksbury",30,2015,0.00117546117546118,-0.123111509334935
"Tewksbury",31,2016,0.00195795795795796,-0.116871957274203
"Tewksbury",31,2018,0.000566280566280566,-0.127969055347127
"Tewksbury",32,2013,0.000731016731016731,-0.126655465439605
"Tewksbury",32,2016,0.00182325182325182,-0.117946090688167
"Tewksbury",32,2018,0.018996138996139,0.0189888155569424
"Tewksbury",33,2015,0.00124410124410124,-0.1225641802068
"Tewksbury",33,2016,0.00224195624195624,-0.114607383006547
"Tewksbury",33,2018,0.00125611325611326,-0.122468397609377
"Tewksbury",34,2016,0.00396396396396396,-0.100876263504477
"Tewksbury",34,2017,0.197518661518662,1.44250977846513
"Tewksbury",34,2018,0.000373230373230373,-0.129508418520005
"Tewksbury",35,2016,0.0026975546975547,-0.110974485918556
"Tewksbury",35,2018,0.00124581724581725,-0.122550496978597
"Tewksbury",36,2016,0.000473616473616474,-0.128707949670108
"Tewksbury",36,2017,0.00053024453024453,-0.128256403139398
"Tewksbury",36,2018,0.0440866580866581,0.219058136732348
"Tewksbury",37,2016,0.00483912483912484,-0.0938978171207645
